sample_id,algo,key_size,operation,keygen_time_ms,enc_time_ms,dec_time_ms,memory_peak_kb,cpu_percent,system_load,timing_variance,label_algo_key,misuse_flag,misuse_rule,misuse_reason,context,enc_dec_ratio,memory_delta_kb,keygen_enc_ratio,total_time_ms,log_keygen_ms,log_dec_ms,label_encoded
Kyber_1024-000006,Kyber,1024,keygen+enc+dec,-0.4471584868785133,-0.6311657069530848,-0.6012668797282823,-0.9860661074836422,-0.1624840840121665,high,-0.06097396501595963,Kyber_1024,0,,,pqc_context,0.0919328836957356,1.6080013401435056,-0.6025811284608926,-0.4499412721986677,-0.9148666536241836,-0.7865088346197828,0
Kyber_1024-000009,Kyber,1024,keygen+enc+dec,-0.4471452775866647,-0.5322654171409303,-0.6057902904786484,-0.9990123490111865,0.03461199422744367,idle,-0.12775873919399713,Kyber_1024,0,,,pqc_context,1.53245062252823,0.03193368895212351,-0.6028916102547645,-0.44994821565264476,-0.9125854471284381,-0.810690027263741,0
RSA_1024-000000,RSA,1024,keygen+enc+dec,-0.40711753151391067,3.7720830251912627,-0.413789504958358,0.9869233165932093,-0.7730012044129099,high,-0.16395939971365173,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,0.5706134599226961,-1.5036452191008969,-0.5811576929188768,-0.4065896703202931,0.1810148272486377,-0.10782213825174908,3
RSA_1024-000001,RSA,1024,keygen+enc+dec,-0.40108400937843,-0.1748930012832413,-0.42526514054222825,0.9875149081407066,-0.7730012044129099,low,-0.1789651076745159,RSA_1024,1,weak_rsa_key,RSA key size below NIST minimum (2048-bit). RSA-1024 deprecated per NIST SP 800-131A Rev.2 (2019).,classical_context,-0.8097171198628652,-1.4316252201888557,-0.42307486353497836,-0.4020950152607079,0.22999499546801608,-0.1380109353822344,3
Kyber_512-000000,Kyber,512,keygen+enc+dec,-0.4472068413544311,-0.6732401181549345,-0.6074288772180036,-1.000548823183452,0.36246449510406337,high,-0.1868493321208368,Kyber_512,0,,,pqc_context,0.6937267778796153,-0.15511575197224392,-0.6029987594626557,-0.45007648484263396,-0.9233407056538454,-0.8196032019666457,1
RSA_4096-000002,RSA,4096,keygen+enc+dec,1.4810870796053655,1.7498871160023213,2.1378711733411713,1.0073332249818665,-0.7730012044129099,medium,-0.20079182544952612,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.9932533022127372,0.9810447433645262,1.3408711174490269,1.4919234706973514,1.5812360722989207,1.8658340074898678,5
Kyber_512-000002,Kyber,512,keygen+enc+dec,-0.4472208251847353,-0.7412932427603434,-0.6076615729526897,-1.0074125792409312,0.7720397601288141,medium,-0.17270395484059722,Kyber_512,0,,,pqc_context,0.02608034943590346,-0.9907052830995424,-0.6027511812513888,-0.4501162110916184,-0.9258283612434702,-0.8208757494024165,1
Kyber_768-000009,Kyber,768,keygen+enc+dec,-0.4471803565537157,-0.6210722900694073,-0.6081455599775336,-1.0062434464451895,0.03461199422744367,idle,-0.17276815862273334,Kyber_768,0,,,pqc_context,1.5022205967503204,-0.8483757602496214,-0.6028995145291351,-0.45004103866897005,-0.9186750096106007,-0.8235279936235037,2
Kyber_1024-000003,Kyber,1024,keygen+enc+dec,-0.4472014978417176,-0.5011903172159081,-0.6027015854675563,-0.9967175284239728,1.8103995869521257,idle,-0.15491437088630894,Kyber_1024,0,,,pqc_context,1.0306191763513157,0.3113037659818627,-0.6034143274347586,-0.44995668444204934,-0.9223945659487895,-0.7941122276158201,0
RSA_2048-000003,RSA,2048,keygen+enc+dec,-0.2400331005991424,0.05425736882401287,0.09972424647898762,1.0049668587918772,-0.7730012044129099,idle,-0.2146059112139431,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.9709991373064509,0.6929647477163612,0.00021944320405018673,-0.23638460025745545,0.7676447139130878,0.7246142358318297,4
RSA_4096-000008,RSA,4096,keygen+enc+dec,2.3739186425375225,1.5458212538653875,2.1747620749565417,1.0073332249818665,-0.7633867615719534,idle,-0.1275147648218797,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.999319108781798,0.9810447433645262,2.4843979587583656,2.376018212245725,1.720434276987619,1.8777992844768467,5
Kyber_768-000000,Kyber,768,keygen+enc+dec,-0.4471652570669832,-0.5702311589338481,-0.6038335689659535,-0.9934388171443275,0.36246449510406337,high,-0.14274390194457776,Kyber_768,0,,,pqc_context,0.7887686614843712,0.7104521037021911,-0.6029421874896365,-0.44995769537399277,-0.9160413776938133,-0.8001544199673155,2
RSA_4096-000006,RSA,4096,keygen+enc+dec,0.35099492191068743,1.2988919757325705,2.1657506017639583,1.0073332249818665,-0.7730012044129099,high,-0.19853185231833317,RSA_4096,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-1.0054146457191853,0.9810447433645262,0.3706966233971021,0.37353292145730027,1.2588304778646073,1.8748903207779983,5
RSA_2048-000006,RSA,2048,keygen+enc+dec,-0.19194374357631308,-0.09599252187985602,0.048698209792243936,1.0049668587918772,-0.7730012044129099,high,-0.2154225833227151,RSA_2048,1,classical_in_pqc_context,"Classical RSA used in a post-quantum migration context. Post-NIST FIPS 203 (ML-KEM, 2024) mandates PQC for new deployments. RSA is not quantum-safe.",classical_context,-0.9802048572027826,0.6929647477163612,0.29019297302423847,-0.18944163980962828,0.8433933828933365,0.6677933041919398,4
